标号,发行人,X1,X2,X3,X4,X5,X6,X7,,,,,,
1,中煤集团山西华昱能源有限公司,7,8,8,7,7,7,10,,,,,,
1,珠海中富实业股份有限公司,10,4,8,5,3,4,10,,,,,,
1,广州造纸股份有限公司,5,4,8,9,4,3,5,,,,,,
1,河南万基铝业股份有限公司,6,6,10,10,10,10,7,,,,,,
1,华盛江泉集团有限公司,9,10,6,6,6,8,10,,,,,,
1,龙口煤电有限公司,3,5,10,10,10,9,8,,,,,,
1,山东省微山湖矿业集团有限公司,1,9,6,6,6,6,8,,,,,,
1,苏泊尔集团有限公司,10,4,6,6,6,6,1,,,,,,
1,信阳市弘昌管道燃气工程有限责任公司,6,8,6,6,6,6,5,,,,,,
1,云南黄金矿业集团股份有限公司,6,8,3,5,4,6,9,,,,,,
1,万正投资集团有限公司,6,6,6,6,8,4,9,,,,,, 
1,江苏飞达控股集团有限公司,7,6,6,6,10,7,10,,,,,,
1,晶科能源有限公司,6,10,6,6,9,5,5,,,,,,
1,山东丰源集团股份有限公司,7,6,8,7,6,7,8,,,,,,
1,山西汽车运输集团有限公司,4,6,6,6,6,2,7,,,,,,
1,永煤集团股份有限公司,1,7,9,9,10,5,10,,,,,,
1,阳城县皇城相府(集团)实业有限公司,6,6,8,6,9,6,9,,,,,,
1,新疆金特钢铁股份有限公司,10,8,10,9,10,10,10,,,,,,
1,湖南有色金属控股集团有限公司,4,10,8,9,7,3,10,,,,,,
1,太原煤炭气化(集团)有限责任公司,9,10,7,4,7,8,10,,,,,,
1,晟通科技集团有限公司,6,7,8,6,10,6,7,,,,,,
1,江苏索普(集团)有限公司,6,10,6,9,6,7,,,,,,,
1,云南祥鹏航空有限责任公司,6,6,9,3,10,8,4,,,,,,
1,太重煤机有限公司,6,5,4,6,5,2,10,,,,,,
1,山东新查庄矿业有限责任公司,6,9,6,6,6,6,10,,,,,,
1,贵州赤天化集团有限责任公司,6,6,6,3,6,5,9,,,,,,
1,英利能源(中国)有限公司,6,6,10,8,9,4,10,,,,,,
1,内蒙古霍林河煤业集团有限责任公司,5,9,10,10,10,7,10,,,,,,
1,翔鹭石化股份有限公司,3,4,10,10,10,6,9,,,,,,
1,安阳钢铁集团有限责任公司,2,8,6,6,7,6,10,,,,,,
1,云南锡业集团(控股)有限责任公司,6,10,8,6,5,4,10,,,,,,
1,云南冶金集团股份有限公司,6,10,6,6,6,1,9,,,,,,
1,中国平煤神马能源化工集团有限责任公司,3,6,8,8,9,6,10,,,,,,
1,包头钢铁(集团)有限责任公司,6,7,6,8,7,3,10,,,,,,
1,保利能源控股有限公司,5,4,6,6,3,10,10,,,,,,
1,河南能源化工集团有限公司,3,6,5,3,7,3,10,,,,,,
1,湖南湘投金天科技集团有限责任公司,6,6,6,6,6,6,10,,,,,,
1,淮北矿业(集团)有限责任公司,6,8,5,4,7,5,10,,,,,,
1,江苏华东有色投资控股有限公司,6,6,6,6,6,6,9,,,,,,
1,江苏省建筑工程集团有限公司,10,9,6,6,6,6,10,,,,,,
1,江苏中能硅业科技发展有限公司,6,6,10,9,6,6,5,,,,,,
1,江西省能源集团公司,4,6,3,3,6,4,10,,,,,,
1,金川集团股份有限公司,3,4,5,4,5,6,10,,,,,,
1,精工控股集团有限公司,7,8,7,7,7,2,7,,,,,,
1,酒泉钢铁(集团)有限责任公司,6,7,6,6,6,6,10,,,,,,
1,临沂矿业集团有限责任公司,7,5,10,3,8,6,9,,,,,,
1,内蒙古矿业(集团)有限责任公司,6,8,3,3,8,4,10,,,,,,
1,攀钢集团有限公司,8,6,9,7,9,6,10,,,,,,
1,青岛海湾集团有限公司,7,4,3,3,3,8,7,,,,,,
1,三一重工股份有限公司,3,4,7,8,5,2,9,,,,,,
1,厦门海翼集团有限公司,4,6,4,5,3,2,9,,,,,,
1,山东世纪阳光纸业集团有限公司,9,6,8,6,6,2,7,,,,,,
1,山煤国际能源集团股份有限公司,6,6,5,5,4,3,10,,,,,,
1,山西凯嘉能源集团有限公司,8,6,9,6,8,8,10,,,,,,
1,山西乡宁焦煤集团有限责任公司,7,6,6,6,6,6,10,,,,,,
1,山西襄矿集团有限公司,6,9,6,6,6,6,9,,,,,,
1,上海新黄浦置业股份有限公司,10,6,6,6,6,8,3,,,,,,
1,沈阳煤业(集团)有限责任公司,8,6,8,6,4,6,10,,,,,,
1,四川西部资源控股股份有限公司,10,4,6,7,6,6,10,,,,,,
1,四川长虹电子控股集团有限公司,6,8,4,4,7,6,10,,,,,,
1,腾达建设集团股份有限公司,4,6,6,6,6,8,8,,,,,,
1,武汉当代科技产业集团股份有限公司,6,6,3,6,3,3,5,,,,,,
1,西宁特殊钢股份有限公司,8,6,6,5,6,6,10,,,,,,
1,西宁特殊钢集团有限责任公司,8,6,6,5,6,6,10,,,,,,
1,湘电集团有限公司,8,8,5,8,4,1,9,,,,,,
1,新疆投资发展(集团)有限责任公司,6,5,6,6,6,7,9,,,,,,
1,新疆有色金属工业(集团)有限责任公司,6,6,4,9,4,6,10,,,,,,
1,新誉集团有限公司,6,6,6,4,3,8,1,,,,,,
1,永城煤电控股集团有限公司,3,8,8,8,9,3,10,,,,,,
1,浙江广天日月集团股份有限公司,6,6,5,6,3,2,10,,,,,,
1,浙江省商业集团有限公司,5,6,4,5,3,6,10,,,,,,
1,中国城市建设控股集团有限公司,8,7,6,6,9,4,8,,,,,,
1,中国第一重型机械股份公司,2,4,4,3,3,6,10,,,,,,
1,中国高科集团股份有限公司,6,8,6,5,6,10,8,,,,,,
1,中国铁路物资股份有限公司,6,6,9,10,9,4,10,,,,,,
1,中国新兴(集团)总公司,2,6,6,5,5,5,9,,,,,,
1,安阳钢铁股份有限公司,8,6,7,10,4,4,10,,,,,,
1,宝钢集团广东韶关钢铁有限公司,6,6,10,10,5,5,10,,,,,,
1,大同煤矿集团有限责任公司,5,6,6,6,6,1,9,,,,,,
1,法尔胜泓N集团有限公司,6,8,3,5,3,3,9,,,,,,
1,贵州开磷集团股份有限公司,8,6,4,7,7,6,8,,,,,,
1,贵州旅游投资控股(集团)有限责任公司,6,6,3,3,3,10,9,,,,,,
1,湖南华菱钢铁集团有限责任公司,7,8,6,7,4,4,10,,,,,,
1,华电煤业集团有限公司,8,6,9,7,6,6,10,,,,,,
1,吉林亚泰(集团)股份有限公司,8,4,4,3,3,3,10,,,,,,
1,冀东发展集团有限责任公司,3,9,7,4,7,1,10,,,,,,
1,江苏苏化集团有限公司,10,8,9,8,8,4,9,,,,,,
1,焦作煤业(集团)有限责任公司,6,9,3,3,3,4,6,,,,,,
1,开滦(集团)有限责任公司,6,10,5,7,6,6,10,,,,,,
1,南通产业控股集团有限公司,3,6,6,6,6,6,6,,,,,,
1,内蒙古北方重工业集团有限公司,4,6,10,9,9,6,10,,,,,,
1,奇瑞汽车股份有限公司,5,6,9,10,10,8,8,,,,,,
1,三亚凤凰国际机场有限责任公司,6,7,10,9,10,7,6,,,,,,
1,山东恒邦冶炼股份有限公司,7,6,4,8,6,10,8,,,,,,
1,山东金茂纺织化工集团有限公司,6,8,6,6,3,3,4,,,,,,
1,山西阳煤化工投资有限责任公司,8,6,9,9,10,6,9,,,,,,
1,黑龙江中盟集团有限公司,7,9,3,3,3,6,10,,,,,,
1,吉林省煤业集团有限公司,5,8,6,6,6,5,9,,,,,,
1,柳州钢铁股份有限公司,6,4,10,10,9,9,10,,,,,,
1,厦门厦工机械股份有限公司,2,6,4,7,4,2,10,,,,,,
1,山推工程机械股份有限公司,6,4,8,8,7,3,10,,,,,,
1,蚌埠玻璃工业设计研究院,6,8,10,9,9,2,8,,,,,,
1,华孚色纺股份有限公司,5,4,4,9,3,5,4,,,,,,
1,华天酒店集团股份有限公司,10,4,4,8,5,3,6,,,,,,
1,青海省投资集团有限公司,6,7,3,3,3,5,9,,,,,,
1,南宁糖业股份有限公司,3,4,5,5,7,9,5,,,,,,
1,安徽盛运环保(集团)股份有限公司,6,9,10,10,3,3,1,,,,,,
1,安徽皖江物流(集团)股份有限公司,4,4,9,10,8,7,2,,,,,,
0,北京国华置业有限公司,6,9,6,6,6,1,4,,,,,,
0,大同煤矿集团铁峰煤业有限公司,6,6,10,7,10,9,8,,,,,,
0,恒安(中国)投资有限公司,6,7,9,10,9,5,1,,,,,,
0,鸿商产业控股集团有限公司,8,6,5,3,7,7,8,,,,,,
0,张家港市城市投资发展集团有限公司,1,6,6,6,10,7,7,,,,,,
0,华润水泥控股有限公司,6,6,9,6,6,6,,,,,,,
0,恒安国际集团有限公司,6,4,6,6,6,6,,,,,,,
0,山东省经济开发投资公司,6,4,9,6,6,6,1,,,,,,
0,中国北方工业公司,4,4,6,5,6,8,5,,,,,,
0,振华石油控股有限公司,1,4,7,3,9,10,4,,,,,,
0,江苏吴中集团有限公司,9,9,6,6,10,6,6,,,,,,
0,广州市番禺信息技术投资发展有限公司,8,5,6,6,6,5,8,,,,,,
0,河南城际铁路有限公司,1,6,6,10,10,10,,,,,,,
0,正兴隆房地产(深圳)有限公司,6,6,6,6,3,1,9,,,,,,
0,中天科技集团有限公司,4,4,3,3,3,6,2,,,,,,
0,山东万通石油化工集团有限公司,10,8,10,10,3,6,6,,,,,,
0,宁波亚洲浆纸业有限公司,6,6,10,10,10,9,8,,,,,,
0,泰山玻璃纤维有限公司,7,6,9,6,9,5,4,,,,,,
0,贵州广电传媒集团有限公司,6,6,5,5,6,4,4,,,,,,
0,江西省港航建设投资有限公司,6,6,6,3,8,7,5,,,,,,
0,中国建筑第六工程局有限公司,2,4,9,5,8,1,5,,,,,,
0,湖南友谊阿波罗控股股份有限公司,6,6,6,6,3,6,8,,,,,,
0,南京扬子国资投资集团有限责任公司,6,9,9,8,9,9,7,,,,,,
0,保利南方集团有限公司,8,10,6,3,7,2,3,,,,,,
0,中国兵工物资集团有限公司,2,6,7,6,6,2,9,,,,,,
0,佳源创盛控股集团有限公司,6,6,4,10,6,6,1,,,,,,
0,河南众品食品有限公司,8,6,7,7,6,1,5,,,,,,
0,天津轨道交通集团有限公司,3,9,6,6,3,9,9,,,,,,
0,浙江沪杭甬高速公路股份有限公司,7,6,6,6,6,9,6,,,,,,
0,石榴置业集团股份有限公司,10,4,3,5,6,6,3,,,,,,
0,广东粤电航运有限公司,10,6,10,9,10,9,8,,,,,,
0,中国石油化工集团公司,6,8,9,7,8,6,3,,,,,,
0,上实环境水务股份有限公司,6,4,3,3,6,9,4,,,,,,
0,东港投资发展集团有限公司,6,4,6,6,6,6,5,,,,,,
0,南京安居建设集团有限责任公司,6,6,6,6,6,6,6,,,,,,
0,湖南黑金时代股份有限公司,1,6,9,8,8,3,10,,,,,,
0,神州数码软件有限公司,4,6,6,8,5,3,,,,,,,
0,南京丰盛产业控股集团有限公司,6,6,4,4,3,8,6,,,,,,
0,赤壁市蓝天城市建设投资开发有限责任公司,7,9,3,3,6,10,4,,,,,,
0,宝龙地产控股有限公司,3,6,6,6,6,6,,,,,,,
0,湖北稻花香酒业股份有限公司,10,8,3,3,3,6,2,,,,,,
0,青岛中石大控股有限公司,9,6,3,3,3,6,8,,,,,,
0,柳州市产业投资有限公司,6,4,3,3,3,4,10,,,,,,
0,北京未来科技城发展集团有限公司,3,4,3,3,3,10,7,,,,,,
0,响水县灌江控股集团有限公司,9,9,3,3,3,10,5,,,,,,
0,浙江新大集团有限公司,6,6,6,7,7,6,6,,,,,,
0,北京同仁堂科技发展股份有限公司,1,4,10,9,3,6,1,,,,,,
0,广州市城市建设开发有限公司,10,6,4,8,3,3,7,,,,,,
0,上海新华发行集团有限公司,6,5,10,9,7,9,5,,,,,,
0,天津保税区投资有限公司,10,8,6,6,3,10,2,,,,,,
0,上饶投资控股集团有限公司,5,7,3,3,3,10,5,,,,,,
0,铁牛集团有限公司,9,10,10,3,9,6,4,,,,,,
0,安徽省南翔贸易(集团)有限公司,10,6,4,6,3,6,5,,,,,,
0,徐州博创建设发展集团有限公司,7,10,6,6,6,6,,,,,,,
0,安徽省旅游集团有限责任公司,7,4,3,3,3,6,5,,,,,,
0,中国光大控股有限公司,3,4,8,6,6,6,,,,,,,
0,山东齐成石油化工有限公司,6,9,6,6,6,6,8,,,,,,
0,广州凯华城房地产开发有限公司,10,8,5,6,3,6,,,,,,,
0,今世缘集团有限公司,6,6,3,9,3,7,5,,,,,,
0,阿特斯(中国)投资有限公司,10,6,10,7,10,9,3,,,,,,
0,中国能源建设集团有限公司,7,6,5,3,5,1,5,,,,,,
0,中国能源建设股份有限公司,7,7,6,6,6,6,,,,,,,
0,杭州余杭金融控股集团有限公司,6,6,6,6,6,6,5,,,,,,
0,扬州市临港建设发展有限公司,6,6,6,6,6,6,,,,,,,
0,国寿投资控股有限公司,5,6,10,9,3,6,1,,,,,,
0,成都高新投资集团有限公司,8,5,6,3,4,4,8,,,,,,
0,正源房地产开发有限公司,10,4,3,3,3,5,4,,,,,,
0,河北省新合作控股集团有限公司,3,6,6,6,6,6,6,,,,,,
0,深圳市龙岗区投资控股集团有限公司,1,4,3,3,8,8,6,,,,,,
0,融侨集团股份有限公司,10,5,3,3,3,6,10,,,,,,
0,郑州航空港兴港投资集团有限公司,3,9,3,3,6,9,9,,,,,,
0,绍兴市柯桥区国有资产投资经营集团有限公司,6,5,3,9,10,9,6,,,,,,
0,普洛斯洛华中国海外控股(香港)有限公司,9,4,10,6,6,6,,,,,,,
0,红楼集团有限公司,6,6,6,6,3,6,7,,,,,,
0,上海新世界(集团)有限公司,6,6,7,7,9,1,6,,,,,,
0,北京鸿坤伟业房地产开发有限公司,9,5,6,6,3,6,3,,,,,,
0,天津房地产集团有限公司,10,4,6,6,3,7,5,,,,,,
0,大理海东开发投资集团有限公司,5,8,6,6,6,10,,,,,,,
0,青岛华通国有资本运营(集团)有限责任公司,3,9,6,6,6,4,8,,,,,,
0,招商局集团(香港)有限公司,10,7,9,7,5,1,6,,,,,,
0,中山中汇投资集团有限公司,4,6,9,6,4,5,1,,,,,,
0,山东泰丰控股集团有限公司,6,9,6,10,9,8,7,,,,,,
0,深圳市中兴新通讯设备有限公司,6,4,6,6,6,6,3,,,,,,
0,杭州西湖投资有限公司,6,10,6,6,3,6,6,,,,,,
0,浙江杭州青山湖科技城投资建设发展有限公司,9,4,3,3,3,6,8,,,,,,
0,华泰汽车集团有限公司,10,6,10,6,8,9,9,,,,,,
0,盐城市大丰区城建国有资产经营有限公司,5,9,6,6,3,10,8,,,,,,
0,石家庄市建设投资集团有限责任公司,3,5,6,6,6,6,3,,,,,,
0,超威电源有限公司,6,4,4,5,3,6,3,,,,,,
0,无锡苏南国际机场集团有限公司,10,10,10,3,9,8,9,,,,,,
0,山西杏花村汾酒集团有限责任公司,6,4,4,4,3,6,3,,,,,,
0,广州万力集团有限公司,5,4,5,6,4,4,4,,,,,,
0,大连市建设投资集团有限公司,9,6,3,3,3,6,7,,,,,,
0,湖北长江出版传媒集团有限公司,4,6,6,4,8,2,7,,,,,,
0,金融街控股股份有限公司,10,4,3,6,4,8,8,,,,,,
0,上海世茂建设有限公司,8,4,9,6,3,8,7,,,,,,
0,珠海格力房产有限公司,8,10,6,4,10,9,2,,,,,,
0,云南省水利水电投资有限公司,10,6,6,6,6,10,7,,,,,,
0,翔宇实业集团有限公司,7,9,6,6,8,5,8,,,,,,
0,浙江富春山居集团有限公司,8,10,6,6,6,6,9,,,,,,
0,合肥兴泰金融控股(集团)有限公司,7,6,3,3,3,6,4,,,,,,
0,中国江苏国际经济技术合作集团有限公司,7,4,3,3,3,5,7,,,,,,
0,泸州市基础建设投资有限公司,7,8,7,3,6,6,3,,,,,,
0,中国铝业公司,9,6,7,6,6,6,7,,,,,,
0,北京华联综合超市股份有限公司,8,6,5,6,8,6,8,,,,,,
0,上海均瑶(集团)有限公司,9,9,3,3,8,5,4,,,,,,
0,杭州市商贸旅游集团有限公司,5,9,6,3,5,6,6,,,,,,
0,杭州市金融投资集团有限公司,7,8,4,5,3,7,7,,,,,,
0,无锡灵山文化旅游集团有限公司,7,5,3,3,3,9,9,,,,,,
0,新希望集团有限公司,7,7,7,4,8,2,4,,,,,,
0,中国铁路总公司,6,6,6,6,6,6,,,,,,,
0,中国华能集团公司,3,4,6,6,4,4,6,,,,,,
0,中国大唐集团公司,2,7,3,4,4,4,6,,,,,,
0,鞍山钢铁集团公司,2,6,9,6,9,4,10,,,,,,
0,北京粮食集团有限责任公司,4,4,3,3,3,6,6,,,,,,
0,常高新集团有限公司,8,9,10,7,10,9,6,,,,,,
0,佛山市公用事业控股有限公司,7,6,9,6,10,7,4,,,,,,
0,武汉新港建设投资开发集团有限公司,4,7,3,3,3,6,9,,,,,,
0,云南白药控股有限公司,1,4,3,3,9,7,1,,,,,,
0,北京经济技术投资开发总公司,6,4,6,6,3,8,8,,,,,,
0,中国旅游集团公司,6,7,4,3,4,3,6,,,,,,
0,中国船舶工业集团公司,7,5,3,4,4,2,6,,,,,,
0,厦门国贸控股有限公司,7,10,5,8,4,3,5,,,,,,
0,广州万宝集团有限公司,2,4,9,6,6,6,9,,,,,,
0,广东省粤垦投资有限公司,6,4,7,7,7,6,8,,,,,,
0,中国重型汽车集团有限公司,4,4,3,3,3,6,7,,,,,,
0,重庆机电控股(集团)公司,6,6,7,4,5,2,9,,,,,,
0,山东黄金集团有限公司,2,5,6,6,6,5,8,,,,,,
0,福建省电子信息(集团)有限责任公司,7,6,5,3,3,4,5,,,,,,
0,浙江省旅游集团有限责任公司,7,8,3,3,3,1,6,,,,,,
0,厦门翔业集团有限公司,1,4,3,3,3,6,5,,,,,,
0,邯郸市交通建设有限公司,10,8,3,3,6,6,4,,,,,,
0,新华联控股有限公司,10,5,3,3,8,6,8,,,,,,
0,北京住总集团有限责任公司,1,8,4,3,3,2,6,,,,,,
0,广东省广业资产经营有限公司,8,4,6,5,5,4,6,,,,,,
0,山东钢铁集团有限公司,4,7,7,8,7,1,9,,,,,,
0,中国华电集团公司,7,5,6,6,6,6,5,,,,,,
0,天津航空有限责任公司,10,10,10,6,6,6,7,,,,,,
0,精功集团有限公司,8,9,7,7,6,1,8,,,,,,
0,厦门航空有限公司,7,4,5,4,6,8,4,,,,,,
0,山东省商业集团有限公司,7,4,6,6,6,5,8,,,,,,
0,中航发动机控股有限公司,3,4,10,9,8,3,6,,,,,,
0,中煤矿山建设集团有限责任公司,2,6,6,6,6,1,8,,,,,,
0,广汇汽车服务有限责任公司,9,5,4,3,4,1,5,,,,,,
0,陕西有色金属控股集团有限责任公司,3,6,4,3,6,1,9,,,,,,
0,杉杉集团有限公司,7,9,3,4,6,3,5,,,,,,
0,首都机场集团公司,3,6,6,6,6,1,4,,,,,,
0,福建省稀有稀土(集团)有限公司,7,4,9,8,7,4,10,,,,,,
0,江苏扬子大桥股份有限公司,10,10,6,8,10,7,5,,,,,,
0,中国水利水电第八工程局有限公司,1,6,10,7,9,5,9,,,,,,
0,大连机床集团有限责任公司,6,6,3,4,4,4,7,,,,,,
0,江苏苏美达集团有限公司,7,4,7,5,7,2,8,,,,,,
0,交通运输部上海打捞局,6,4,3,3,6,9,9,,,,,,
0,天津城市基础设施建设投资集团有限公司,7,8,6,6,4,9,6,,,,,,
0,浙江古纤道新材料股份有限公司,10,10,6,6,6,6,9,,,,,,
0,重庆力帆控股有限公司,8,5,6,6,10,7,8,,,,,,
0,河钢集团有限公司,3,7,4,4,5,8,8,,,,,,
0,北京国有资本经营管理中心,7,7,6,6,6,6,6,,,,,,
0,红豆集团有限公司,8,7,6,6,5,1,7,,,,,,
0,湖北能源集团股份有限公司,2,6,5,6,9,10,2,,,,,,
0,华立集团股份有限公司,6,9,3,3,6,1,8,,,,,,
0,西南水泥有限公司,7,6,4,8,5,1,9,,,,,,
0,山东省国有资产投资控股有限公司,3,5,6,6,6,3,5,,,,,,
0,山西焦煤集团有限责任公司,6,7,6,6,6,3,9,,,,,,
0,中化化肥有限公司,1,6,9,10,10,4,8,,,,,,
0,陕西延长石油(集团)有限责任公司,3,9,8,10,9,3,9,,,,,,
0,北京首都旅游集团有限责任公司,6,4,6,6,6,3,8,,,,,,
0,湖南黄金集团有限责任公司,3,4,6,6,6,6,10,,,,,,
0,江阴市公有资产经营有限公司,6,10,6,6,6,6,7,,,,,,
0,中国普天信息产业股份有限公司,5,4,4,6,5,4,8,,,,,,
0,南方水泥有限公司,2,4,5,7,4,1,10,,,,,,
0,深圳华强集团有限公司,6,6,4,3,6,6,7,,,,,,
0,安徽山鹰纸业股份有限公司,8,10,4,8,3,1,6,,,,,,
0,盐城市国有资产投资集团有限公司,9,9,6,6,6,9,7,,,,,,
0,华电江苏能源有限公司,6,8,8,8,7,9,4,,,,,,
0,山东省鲁信投资控股集团有限公司,5,9,6,6,6,4,4,,,,,,
0,中国节能环保集团公司,6,5,3,6,7,1,5,,,,,,
0,金红叶纸业集团有限公司,9,10,3,10,10,9,8,,,,,,
0,北京二商集团有限责任公司,5,6,6,6,6,1,6,,,,,,
0,东方集团股份有限公司,9,9,3,6,4,9,9,,,,,,
0,深圳市百业源投资有限公司,6,6,6,9,6,2,7,,,,,,
0,北京首都农业集团有限公司,3,4,4,7,5,7,5,,,,,,
0,泸州老窖集团有限责任公司,7,5,3,3,6,9,5,,,,,,
0,山西潞安矿业(集团)有限责任公司,4,6,6,6,6,6,9,,,,,,
0,华电能源股份有限公司,6,6,7,7,8,9,9,,,,,,
0,中国海洋石油总公司,4,4,7,3,3,2,7,,,,,,
0,上海百联集团股份有限公司,5,6,3,6,3,1,4,,,,,,
0,厦门国际港务股份有限公司,2,4,7,8,7,2,4,,,,,,
0,宁波开发投资集团有限公司,7,7,7,6,7,6,7,,,,,,
0,福建省能源集团有限责任公司,4,8,5,5,4,8,5,,,,,,
0,阳泉煤业(集团)有限责任公司,6,7,3,3,3,1,10,,,,,,
0,株洲市城市建设发展集团有限公司,6,6,6,6,6,8,7,,,,,,
0,电信科学技术研究院,3,6,3,6,4,2,8,,,,,,
0,南山集团有限公司,6,6,6,6,6,4,6,,,,,,
0,浙江吉利控股集团有限公司,6,7,6,8,6,6,4,,,,,,
0,中金黄金股份有限公司,6,6,6,6,6,6,10,,,,,,
0,广州地铁集团有限公司,6,6,5,6,9,9,8,,,,,,
0,黑龙江北大荒农垦集团总公司,5,8,6,6,6,1,8,,,,,,
0,三花控股集团有限公司,8,6,4,3,6,6,4,,,,,,
0,中国核工业建设集团公司,7,9,3,4,3,2,9,,,,,,
0,武汉钢铁(集团)公司,6,5,9,10,8,8,10,,,,,,
0,本溪钢铁(集团)有限责任公司,5,10,7,10,8,5,10,,,,,,
0,山西省国新能源发展集团有限公司,2,10,9,6,7,3,8,,,,,,
0,广西水利电业集团有限公司,6,6,6,4,6,6,8,,,,,,
0,海亮集团有限公司,2,10,3,6,7,3,8,,,,,,
0,上海华信国际集团有限公司,10,6,3,6,6,6,7,,,,,,
0,广西农垦集团有限责任公司,5,6,6,6,5,7,6,,,,,,
